epoch,acc,loss,val_acc,val_loss
0,0.9446,0.181516812377,0.968,0.101812750377
1,0.975333333333,0.081143457679,0.972,0.0888915796361
2,0.982083333333,0.0559622630511,0.9798,0.0702193323919
3,0.986283333333,0.044253222661,0.9715,0.100039716925
4,0.988916666667,0.0352988231339,0.978,0.0966070428878
5,0.99065,0.0312075138322,0.976,0.107007764955
6,0.99155,0.0293443377067,0.9759,0.100907413599
7,0.992716666667,0.0249469235599,0.9788,0.101743332395
8,0.9936,0.0228294346184,0.9825,0.0831171748368
9,0.99405,0.0209146823134,0.9795,0.100516431725
